Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,CLTV,Contract,Dependents,Device Protection Plan,Gender,Internet Service,Internet Type,Latitude,Longitude,Married,Monthly Charge,Multiple Lines,Number of Dependents,Number of Referrals,Offer,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Premium Tech Support,Referred a Friend,Satisfaction Score,Senior Citizen,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Total Revenue,Unlimited Data,Churn
23,0,16.42,4501,One Year,0,0,Male,0,,37.776718,-122.495781,1,24.15,1,0,1,Offer B,0,0,0,1,Bank Withdrawal,1,0,1,3,0,0,0,0,60,1505.9,0,985.2,0.0,2491.1,0,0
22,51,18.62,5870,Month-to-Month,0,0,Male,1,DSL,39.108252,-123.645121,0,50.3,0,0,0,Offer E,1,0,1,0,Credit Card,1,0,0,5,0,0,0,0,2,92.75,0,37.24,0.0,129.99,1,0
50,21,0.0,2933,Month-to-Month,0,1,Male,1,DSL,34.13658,-118.245839,0,39.65,0,0,0,,0,0,1,0,Bank Withdrawal,0,0,0,1,0,0,0,1,19,733.35,0,0.0,0.0,733.35,1,1
44,24,44.14,5962,Month-to-Month,1,1,Female,1,DSL,37.458367,-119.345011,0,59.8,0,1,0,Offer D,0,0,1,0,Credit Card,1,0,0,4,0,0,0,1,14,824.85,0,617.96,0.0,1442.81,1,0
41,19,14.64,5284,Month-to-Month,1,0,Female,1,DSL,35.303926,-120.256567,1,50.2,0,2,1,Offer B,1,0,0,1,Mailed Check,1,0,1,4,0,0,0,0,43,2169.4,0,629.52,0.0,2798.92,1,0
47,6,44.45,5870,One Year,0,0,Male,1,DSL,39.904002,-121.527823,1,70.5,0,0,7,,1,1,0,1,Credit Card,1,1,1,4,0,1,1,0,32,2201.75,0,1422.4,0.0,3624.15,1,0
61,0,33.92,5475,Two Year,1,0,Male,0,,37.218705,-121.762429,1,26.1,1,2,2,,0,0,0,1,Credit Card,1,0,1,3,0,0,0,0,72,1851.45,0,2442.24,0.0,4293.69,0,0
75,25,1.92,3728,Two Year,0,1,Male,1,Fiber Optic,35.186644,-120.728305,0,93.9,1,0,0,Offer D,0,0,0,0,Bank Withdrawal,1,1,0,4,1,0,0,1,18,1743.9,0,34.56,0.0,1778.46,1,0
43,12,31.31,4770,One Year,0,1,Male,1,Fiber Optic,33.475493,-117.219551,0,91.25,0,0,0,Offer B,0,1,0,0,Bank Withdrawal,1,0,0,3,0,0,0,1,52,4738.3,0,1628.12,0.0,6366.42,1,0
29,0,3.58,4761,One Year,0,0,Male,0,,33.887676,-118.127289,0,19.5,0,0,0,Offer C,0,0,1,0,Bank Withdrawal,1,0,0,4,0,0,0,0,25,516.3,0,89.5,0.0,605.8,0,0
75,18,26.82,4368,One Year,0,1,Female,1,Cable,32.64164,-116.985026,1,68.45,1,0,1,,1,1,1,1,Credit Card,1,1,1,4,1,0,0,0,56,4014.0,0,1501.92,0.0,5515.92,1,0
21,48,23.52,4799,Month-to-Month,0,0,Male,1,DSL,37.587494,-121.862856,0,70.3,0,0,0,,0,0,0,0,Bank Withdrawal,1,1,0,3,0,1,1,1,2,132.4,0,47.04,0.0,179.44,1,0
42,21,8.29,4080,Month-to-Month,0,1,Female,1,DSL,38.688764,-121.457596,0,62.8,0,0,0,,0,0,0,0,Bank Withdrawal,1,1,0,4,0,1,1,0,7,418.3,0,58.03,0.0,476.33,1,0
30,53,0.0,2967,Month-to-Month,0,0,Female,1,DSL,36.959731,-120.653519,0,23.9,0,0,0,,0,0,1,0,Bank Withdrawal,0,0,0,3,0,0,0,0,13,300.8,0,0.0,0.0,300.8,1,1
59,18,47.64,5087,Two Year,0,0,Male,1,Fiber Optic,33.905963,-118.08263,0,88.95,0,0,0,Offer C,0,1,1,0,Bank Withdrawal,1,1,0,3,0,0,0,1,33,3027.65,0,1572.12,0.0,4599.77,1,0
45,25,22.52,5154,One Year,0,0,Male,1,Fiber Optic,37.106902,-122.100006,0,106.65,1,0,0,,1,0,1,0,Bank Withdrawal,1,1,0,5,0,1,1,1,49,5168.1,130,1103.48,0.0,6401.58,0,0
77,19,6.97,5374,Month-to-Month,0,0,Male,1,Fiber Optic,40.704293,-122.803899,1,80.45,0,0,1,Offer D,0,0,1,1,Bank Withdrawal,1,0,1,2,1,1,0,0,12,950.2,0,83.64,0.0,1033.84,1,1
48,4,19.22,4968,One Year,0,1,Male,1,Fiber Optic,40.181279,-120.392967,1,102.5,1,0,8,Offer B,1,0,0,1,Bank Withdrawal,1,0,1,5,0,1,1,1,60,6157.6,0,1153.2,0.0,7310.8,1,0
42,26,10.9,6005,Two Year,1,0,Male,1,Cable,35.559617,-118.925185,1,54.2,0,2,1,Offer A,1,1,1,1,Bank Withdrawal,1,0,1,4,0,0,0,0,67,3838.2,10,730.3,0.0,4578.5,0,0
76,19,34.39,3104,One Year,0,0,Male,1,Fiber Optic,35.140938,-119.051348,0,104.65,1,0,0,Offer C,1,0,1,0,Bank Withdrawal,1,1,0,4,1,1,0,1,27,2964.0,0,928.53,0.0,3892.53,1,0
21,73,32.08,3700,Month-to-Month,0,0,Male,1,DSL,38.013825,-122.039144,1,44.7,0,0,1,,0,0,0,1,Credit Card,1,0,1,3,0,0,1,0,1,44.7,0,32.08,0.0,76.78,1,1
80,17,39.51,3711,Month-to-Month,0,0,Female,1,Fiber Optic,34.088017,-118.327168,1,74.6,0,0,3,Offer E,1,0,1,1,Bank Withdrawal,1,0,1,5,1,0,0,0,3,239.05,30,118.53,0.0,387.58,0,0
62,20,11.74,5804,Month-to-Month,1,1,Male,1,Fiber Optic,39.220368,-122.907693,1,90.4,0,3,10,Offer B,1,0,1,1,Credit Card,1,0,1,3,0,0,0,1,49,4494.65,0,575.26,0.0,5069.91,1,0
69,2,10.55,3172,Month-to-Month,0,0,Male,1,Fiber Optic,34.501452,-118.207862,1,79.3,1,0,0,,0,0,1,1,Bank Withdrawal,1,1,0,5,1,0,0,0,29,2414.55,0,305.95,0.0,2720.5,1,0
77,8,40.5,5610,Two Year,0,1,Male,1,DSL,33.994676,-117.372498,1,74.85,1,0,7,,0,0,0,1,Bank Withdrawal,1,0,1,5,1,1,0,1,30,2181.75,0,1215.0,0.0,3396.75,1,0
33,25,18.75,2061,Month-to-Month,0,0,Female,1,Fiber Optic,36.125529,-120.864443,0,86.55,1,0,0,Offer D,0,0,1,0,Bank Withdrawal,1,0,0,5,0,1,1,0,12,1066.9,110,225.0,0.0,1401.9,0,0
73,20,0.0,5372,One Year,0,0,Male,1,DSL,33.867593,-118.080637,0,56.45,0,0,0,Offer A,1,1,1,0,Bank Withdrawal,0,0,0,3,1,1,1,1,71,3985.35,0,0.0,0.0,3985.35,1,0
32,13,2.45,4543,One Year,0,1,Female,1,Fiber Optic,33.012751,-117.200617,0,103.7,0,0,0,Offer B,0,1,1,0,Bank Withdrawal,1,1,0,4,0,1,1,1,47,4730.6,0,115.15,0.0,4845.75,1,0
30,30,37.65,5665,One Year,0,1,Female,1,Fiber Optic,33.606336,-117.893042,0,94.75,1,0,0,Offer B,1,0,1,0,Bank Withdrawal,1,0,0,4,0,0,0,1,54,5121.75,70,2033.1,0.0,7224.85,0,0
64,17,32.87,5830,Month-to-Month,0,0,Female,1,Fiber Optic,37.834341,-122.26437,0,95.15,1,0,0,Offer D,1,1,1,0,Bank Withdrawal,1,0,0,3,0,1,1,0,19,1789.25,120,624.53,0.0,2533.78,0,1
37,0,48.14,3678,Month-to-Month,0,0,Male,0,,34.727529,-118.153098,0,20.8,0,0,0,Offer E,0,0,0,0,Credit Card,1,0,0,4,0,0,0,0,1,20.8,0,48.14,0.0,68.94,0,0
77,20,3.83,3689,Month-to-Month,0,0,Female,1,Fiber Optic,34.14649,-117.849815,1,92.55,1,0,9,,0,0,1,1,Bank Withdrawal,1,0,1,3,1,1,0,1,17,1614.7,0,65.11,0.0,1679.81,1,0
68,17,34.39,5507,One Year,0,1,Female,1,Fiber Optic,38.636102,-120.522149,0,106.0,1,0,0,,0,0,1,0,Bank Withdrawal,1,1,0,3,1,1,0,1,60,6441.4,110,2063.4,0.0,8614.8,0,1
25,69,0.0,3423,One Year,1,1,Male,1,DSL,37.990574,-120.261821,1,54.3,0,1,1,,0,0,1,1,Bank Withdrawal,0,1,1,5,0,1,1,1,44,2317.1,10,0.0,0.0,2327.1,0,0
39,19,18.74,5584,Two Year,1,0,Female,1,Fiber Optic,39.361283,-123.784599,1,95.1,1,2,8,,1,1,1,1,Bank Withdrawal,1,0,1,3,0,0,0,1,72,6843.15,0,1349.28,0.0,8192.43,1,0
24,0,8.21,2745,Two Year,1,0,Male,0,,33.992416,-117.807874,1,19.8,0,3,0,,0,0,0,1,Bank Withdrawal,1,0,0,3,0,0,0,0,37,726.1,0,303.77,0.0,1029.87,0,0
31,4,0.0,5493,One Year,0,1,Female,1,Cable,37.722727,-122.02157,1,50.05,0,0,7,Offer B,1,1,0,1,Bank Withdrawal,0,0,1,3,0,1,1,0,60,2911.5,0,0.0,0.0,2911.5,1,0
62,29,44.96,3443,Month-to-Month,0,1,Female,1,Fiber Optic,36.732694,-119.783786,0,80.05,1,0,0,Offer D,0,0,0,0,Bank Withdrawal,1,0,0,5,0,0,0,0,17,1345.65,0,764.32,0.0,2109.97,1,0
67,2,26.99,3443,Month-to-Month,0,0,Male,1,Fiber Optic,37.972662,-122.491452,1,80.45,0,0,2,,0,0,1,1,Credit Card,1,0,1,1,1,0,0,1,8,583.45,0,215.92,0.0,799.37,1,1
47,30,27.75,5649,Two Year,0,1,Male,1,Fiber Optic,35.930782,-121.189757,0,105.1,1,0,0,Offer B,1,0,0,0,Credit Card,1,0,0,3,0,1,1,1,65,6631.85,0,1803.75,0.0,8435.6,1,0
19,53,4.65,5361,Month-to-Month,0,0,Female,1,Fiber Optic,33.507255,-117.029473,1,90.35,0,0,10,,1,1,0,1,Bank Withdrawal,1,0,1,3,0,0,0,1,2,190.5,0,9.3,0.0,199.8,1,0
